text,createTime,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,musicMeta.musicAlbum,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags
Every day I ask people if they’re happy. #motivational #wholesometiktok #areyouhappy,1969-12-31 19:04:48,original sound,Are You Happy?,True,,25.0,25,12000,511,110300,126,[],"['motivational', 'wholesometiktok', 'areyouhappy']"
Part 2 of my interview with my friend. What is your biggest regret?,1969-12-31 19:04:49,original sound,Are You Happy?,True,,13.0,13,9351,15,96300,80,[],[]
Every day I ask people if they’re happy.,1969-12-31 19:04:50,The Happiest Person in the World,Are You Happy?,True,,41.0,41,175700,744,872300,549,[],[]
Every day I ask people if they’re happy. Found a cricket game. #cricketlife #cricketworld #areyouhappy #wholesometiktok,1969-12-31 19:04:51,Documentary in Jodhpur Happiness,Are You Happy?,True,,14.0,14,13400,55,95800,49,[],"['cricketlife', 'cricketworld', 'areyouhappy', 'wholesometiktok']"
Every day I ask people if they’re happy. Keep scrolling if you’re not a kid. #areyouhappy #wholesometiktok,1969-12-31 19:04:52,Listen to the kids bro Kids documentary,Are You Happy?,True,,54.0,54,6884,39,69100,40,[],"['areyouhappy', 'wholesometiktok']"
This one’s to get you through whatever you’re going through.,1969-12-31 19:04:53,Outro,M83,False,"Hurry Up, We're Dreaming",30.0,17,8404,421,70800,57,[],[]
Every day I ask people if they are happy. Today I am in Korea. #comfortable #happyplace #vibez #koreangirl,1969-12-31 19:04:54,Are you happy documentary Korea,Are You Happy?,True,,20.0,20,4342,7,55000,52,[],"['comfortable', 'happyplace', 'vibez', 'koreangirl']"
Every day I ask people if they’re happy. #areyouhappy #wholesometiktok,1969-12-31 19:04:55,The Key To Happiness Happiest Person in the World,Are You Happy?,True,,18.0,18,4060,19,53900,60,[],"['areyouhappy', 'wholesometiktok']"
Every day I ask people if they’re happy.,1969-12-31 19:04:56,Homeless Are you happy documentary,Are You Happy?,True,,27.0,27,6784,14,60200,60,[],[]
Every day I ask people if they’re happy. #areyouhappy #wholesometiktok #positivevibes,1969-12-31 19:04:57,original sound,Are You Happy?,True,,31.0,31,15600,47,102700,120,[],"['areyouhappy', 'wholesometiktok', 'positivevibes']"
Every day I ask people if they’re happy. Here’s the most beautiful smile I’ve ever seen. #areyouhappy #wholesometiktok,1969-12-31 19:04:58,The Happiest Person in the World Beautiful smile,Are You Happy?,True,,10.0,10,8199,23,84300,42,[],"['areyouhappy', 'wholesometiktok']"
Every day I ask people if they’re happy. I found a love story. Stay tuned for part 3.,1969-12-31 19:04:59,original sound,Are You Happy?,True,,43.0,43,40600,63,198500,141,[],[]
Part 2 will post tomorrow. #freethesunrisegirl,1969-12-31 19:05:00,original sound,Are You Happy?,True,,56.0,56,11000,33,95400,80,[],['freethesunrisegirl']
Every day I ask people if they’re happy.,1969-12-31 19:05:01,original sound,Are You Happy?,True,,17.0,17,6880,118,61400,51,[],[]
