text,createTime,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,musicMeta.musicAlbum,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags
Reply to @jonathangauci3 Join the cause! Let’s buy a bus! @happy__people,2021-02-02 01:01:28,original sound,Are You Happy?,True,,21.0,21,2072,26,67400,28,"[""@jonathangauci3"",""@happy__people""]",[]
Ik stel vreemden één vraag: ben je gelukkig? Vandaag interviewde een vriendin uit Nederland mensen in haar stad #nederland #hollands #nederlandtiktok,2021-01-31 22:44:21,Night Trouble By Petit Biscuit,Tyler,True,,58.0,47,2548,13,76400,18,[],"[{""id"":""101549"",""name"":""nederland"",""title"":"""",""cover"":""""},{""id"":""1806797"",""name"":""hollands"",""title"":"""",""cover"":""""},{""id"":""1608515418706950"",""name"":""nederlandtiktok"",""title"":"""",""cover"":""""}]"
Never compare... #areyouhappy #positivepsychology #psychologytricks #therapytiktok #sheltonct #farminglife,2021-01-30 23:42:26,original sound,Are You Happy?,True,,14.0,14,9361,141,121200,62,[],"[{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""},{""id"":""79967127"",""name"":""positivepsychology"",""title"":"""",""cover"":""""},{""id"":""1648666876169222"",""name"":""psychologytricks"",""title"":"""",""cover"":""""},{""id"":""1641445810380805"",""name"":""therapytiktok"",""title"":"""",""cover"":""""},{""id"":""1629037100182533"",""name"":""sheltonct"",""title"":"""",""cover"":""""},{""id"":""11439518"",""name"":""farminglife"",""title"":"""",""cover"":""""}]"
She’s going to be a great nurse. Thanks @dop.productions for capturing this interview. #wisconsin #nursingschool #positivepsychology #louisville,2021-01-29 21:34:16,Night Trouble By Petit Biscuit,Tyler,True,,58.0,56,265500,1230,1300000,1085,"[""@dop""]","[{""id"":""151755"",""name"":""wisconsin"",""title"":"""",""cover"":""""},{""id"":""527754"",""name"":""nursingschool"",""title"":"""",""cover"":""""},{""id"":""79967127"",""name"":""positivepsychology"",""title"":"""",""cover"":""""},{""id"":""49483"",""name"":""louisville"",""title"":"""",""cover"":""""}]"
We’re not really strangers. Thanks to @banda.tx for capturing this interview. #areyouhappy #austintexas #mentalhealthtiktoks #mentalhealthcheck,2021-01-28 22:35:38,Night Trouble By Petit Biscuit,Tyler,True,,58.0,49,51300,865,384500,588,"[""@banda""]","[{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""},{""id"":""295094"",""name"":""austintexas"",""title"":"""",""cover"":""""},{""id"":""1682891115275270"",""name"":""mentalhealthtiktoks"",""title"":"""",""cover"":""""},{""id"":""1625676131814405"",""name"":""mentalhealthcheck"",""title"":"""",""cover"":""""}]"
Maccas Manager gets it... Thanks @giddyonthegrind for capturing this interview! #areyouhappy #newsouthwales #australian #maccas #aussiesdoingthings,2021-01-27 23:29:11,original sound,Are You Happy?,True,,55.0,55,2824,11,91100,32,"[""@giddyonthegrind""]","[{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""},{""id"":""8712399"",""name"":""newsouthwales"",""title"":"""",""cover"":""""},{""id"":""75466"",""name"":""australian"",""title"":"""",""cover"":""""},{""id"":""151668"",""name"":""maccas"",""title"":"""",""cover"":""""},{""id"":""1613153771753478"",""name"":""aussiesdoingthings"",""title"":"""",""cover"":""""}]"
She absolutely gets it.Thank you @dop.productions for this interview. #positivepsychology #positivevibesonly #louisville #louisvillekentucky #kentucky,2021-01-26 21:40:30,Night Trouble By Petit Biscuit,Tyler,True,,58.0,56,44800,920,341000,277,"[""@dop""]","[{""id"":""79967127"",""name"":""positivepsychology"",""title"":"""",""cover"":""""},{""id"":""82058"",""name"":""positivevibesonly"",""title"":"""",""cover"":""""},{""id"":""49483"",""name"":""louisville"",""title"":"""",""cover"":""""},{""id"":""5204192"",""name"":""louisvillekentucky"",""title"":"""",""cover"":""""},{""id"":""49484"",""name"":""kentucky"",""title"":"""",""cover"":""""}]"
Reply to @malachiflannery Take control of your happiness. You have the power. #positivitymindset #mindsetmotivation #mindsetiseverything,2021-01-25 19:27:16,i wonder,johnny 🌙,True,,36.0,41,4504,73,103100,71,"[""@malachiflannery""]","[{""id"":""1665609639552005"",""name"":""positivitymindset"",""title"":"""",""cover"":""""},{""id"":""1646557890307074"",""name"":""mindsetmotivation"",""title"":"""",""cover"":""""},{""id"":""1596636817184774"",""name"":""mindsetiseverything"",""title"":"""",""cover"":""""}]"
Thank you @thatpineapplegirl for this amazing interview! More to come from this interview. #areyouhappy #pineapplegirl #documentary #mentalhealth,2021-01-24 23:09:14,original sound,Are You Happy?,True,,55.0,55,2295,26,83000,21,"[""@thatpineapplegirl""]","[{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""},{""id"":""3738442"",""name"":""pineapplegirl"",""title"":"""",""cover"":""""},{""id"":""421426"",""name"":""documentary"",""title"":"""",""cover"":""""},{""id"":""258907"",""name"":""mentalhealth"",""title"":"""",""cover"":""https://p16-amd-va.tiktokcdn.com/obj/musically-maliva-obj/5d224e78095251d2bf710038bdcaa16b""}]"
Thank you @rnbstellar for this interview and for creating amazing music! #areyouhappy #ashes #rnbstellar,2021-01-23 17:48:25,Ashes,Stellar,False,Ashes,60.0,34,1807,23,76700,20,"[""@rnbstellar""]","[{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""},{""id"":""627176"",""name"":""ashes"",""title"":"""",""cover"":""""},{""id"":""1666234300993541"",""name"":""rnbstellar"",""title"":"""",""cover"":""""}]"
This guy gets it. Reply to @jamesmcginley,2021-01-23 08:02:41,original sound,Are You Happy?,True,,40.0,40,5510,78,88400,41,"[""@jamesmcginley""]",[]
This guy totally gets it. #sevenmagicmountains #lasvegas #documentary #positivepsychology #unite,2021-01-22 22:57:12,Night Trouble By Petit Biscuit,Tyler,True,,58.0,40,21300,354,171300,203,[],"[{""id"":""21586307"",""name"":""sevenmagicmountains"",""title"":"""",""cover"":""""},{""id"":""8891"",""name"":""lasvegas"",""title"":"""",""cover"":""""},{""id"":""421426"",""name"":""documentary"",""title"":"""",""cover"":""""},{""id"":""79967127"",""name"":""positivepsychology"",""title"":"""",""cover"":""""},{""id"":""249512"",""name"":""unite"",""title"":"""",""cover"":""""}]"
Part 2 of the Atlanta Man #hotlanta #precovid #lifebeforecovid #cascadeskatingrink #atlantageorgia,2021-01-20 20:44:02,Why Are There Boundaries,Fkj,False,French Kiwi Juice,60.0,55,6276,53,92600,42,[],"[{""id"":""71158"",""name"":""hotlanta"",""title"":"""",""cover"":""""},{""id"":""1659770778482694"",""name"":""precovid"",""title"":"""",""cover"":""""},{""id"":""1662228075960325"",""name"":""lifebeforecovid"",""title"":"""",""cover"":""""},{""id"":""1597073961808902"",""name"":""cascadeskatingrink"",""title"":"""",""cover"":""""},{""id"":""4653423"",""name"":""atlantageorgia"",""title"":"""",""cover"":""""}]"
I’m down with the hood they said! #atlanta #mexicanmemes #blackandproud #atlantageorgia,2021-01-19 21:19:53,Why Are There Boundaries,Fkj,False,French Kiwi Juice,60.0,28,37900,212,231100,218,[],"[{""id"":""12134"",""name"":""atlanta"",""title"":"""",""cover"":""""},{""id"":""45862294"",""name"":""mexicanmemes"",""title"":"""",""cover"":""""},{""id"":""375349"",""name"":""blackandproud"",""title"":""Unapologetically #BlackAndProud."",""cover"":""""},{""id"":""4653423"",""name"":""atlantageorgia"",""title"":"""",""cover"":""""}]"
This guy for president. to @jopkins_ #perspectiveiskey #jerseymikes #positiveenergy #positivepsychology #psychology,2021-01-19 00:07:46,original sound,Are You Happy?,True,,44.0,45,13300,1102,222500,143,"[""@jopkins_""]","[{""id"":""1640797779523590"",""name"":""perspectiveiskey"",""title"":"""",""cover"":""""},{""id"":""895349"",""name"":""jerseymikes"",""title"":"""",""cover"":""""},{""id"":""27911"",""name"":""positiveenergy"",""title"":"""",""cover"":""""},{""id"":""79967127"",""name"":""positivepsychology"",""title"":"""",""cover"":""""},{""id"":""706970"",""name"":""psychology"",""title"":"""",""cover"":""""}]"
"If you have a dollar, this video is for you. #areyouhappy #downsyndromeawareness #downsyndrome #momsoftiktok #autismawareness",2021-01-18 23:45:16,I Need A Dollar,Aloe Blacc & Aloa Blacc,False,Good Things,60.0,45,3284,188,96400,55,[],"[{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""},{""id"":""388691"",""name"":""downsyndromeawareness"",""title"":""October is Down Syndrome Awareness Month, and we're celebrating our incredible community on TikTok. Here's to raising awareness, educating the community, and advocating for one another."",""cover"":""""},{""id"":""83617"",""name"":""downsyndrome"",""title"":"""",""cover"":""""},{""id"":""1609640694706182"",""name"":""momsoftiktok"",""title"":""Here's to all the #MomsOfTikTok."",""cover"":""""},{""id"":""351604"",""name"":""autismawareness"",""title"":""World Autism Day is here, and we're teaming up with our creator community to highlight amazing creators, support one another's journeys, and raise #AutismAwareness."",""cover"":""""}]"
This guy gets it. Thank you @dibrantreppy for this interview. #jerseymikes #derbyct #connecticut #positivepsychology #unite,2021-01-17 20:27:04,Night Trouble By Petit Biscuit,Tyler,True,,58.0,45,1400000,42200,7700000,11100,"[""@dibrantreppy""]","[{""id"":""895349"",""name"":""jerseymikes"",""title"":"""",""cover"":""""},{""id"":""1630281652283397"",""name"":""derbyct"",""title"":"""",""cover"":""""},{""id"":""14356"",""name"":""connecticut"",""title"":"""",""cover"":""""},{""id"":""79967127"",""name"":""positivepsychology"",""title"":"""",""cover"":""""},{""id"":""249512"",""name"":""unite"",""title"":"""",""cover"":""""}]"
She said she isn’t happy but her reason is different than you might think. Thanks @joshsadvice for this interview. #mentalhealthawarness #mentalhealth,2021-01-16 16:34:57,original sound,Are You Happy?,True,,39.0,39,15400,125,199600,161,"[""@joshsadvice""]","[{""id"":""4088697"",""name"":""mentalhealthawarness"",""title"":"""",""cover"":""""},{""id"":""258907"",""name"":""mentalhealth"",""title"":"""",""cover"":""https://p16-amd-va.tiktokcdn.com/obj/musically-maliva-obj/5d224e78095251d2bf710038bdcaa16b""}]"
“We were poor but I never felt poor” #areyouhappy #fairfieldct #hungarian #lifeadvice #wisdom,2021-01-15 21:40:43,original sound,Are You Happy?,True,,26.0,26,18000,144,269200,91,[],"[{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""},{""id"":""61221374"",""name"":""fairfieldct"",""title"":"""",""cover"":""""},{""id"":""446363"",""name"":""hungarian"",""title"":"""",""cover"":""""},{""id"":""467843"",""name"":""lifeadvice"",""title"":"""",""cover"":""""},{""id"":""117451"",""name"":""wisdom"",""title"":"""",""cover"":""""}]"
I thought they lied. #areyouhappy #positivitywithjoy #positivemindset #mentalhealth,2021-01-14 21:59:17,original sound,Are You Happy?,True,,44.0,44,13600,55,174500,68,[],"[{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""},{""id"":""1660171412145157"",""name"":""positivitywithjoy"",""title"":"""",""cover"":""""},{""id"":""48061384"",""name"":""positivemindset"",""title"":"""",""cover"":""""},{""id"":""258907"",""name"":""mentalhealth"",""title"":"""",""cover"":""https://p16-amd-va.tiktokcdn.com/obj/musically-maliva-obj/5d224e78095251d2bf710038bdcaa16b""}]"
Someone sent me this voice message and I need to share it with yall. #archesnationalpark #mentalhealthawarness #mentalhealthtiktoks #mentalhealthtips,2021-01-13 22:54:51,original sound,Are You Happy?,True,,54.0,54,6617,95,129400,86,[],"[{""id"":""10837545"",""name"":""archesnationalpark"",""title"":"""",""cover"":""""},{""id"":""4088697"",""name"":""mentalhealthawarness"",""title"":"""",""cover"":""""},{""id"":""1682891115275270"",""name"":""mentalhealthtiktoks"",""title"":"""",""cover"":""""},{""id"":""1629415761731589"",""name"":""mentalhealthtips"",""title"":"""",""cover"":""""}]"
Find happiness in the little things. Thanks @famouslyaloof for this interview! #momsontiktok #momsofteens #momsofquarantine #momsanddaughters,2021-01-12 23:27:35,drivers license,Olivia Rodrigo,False,drivers license,30.0,58,2950,22,110100,31,"[""@famouslyaloof""]","[{""id"":""1612568877897733"",""name"":""momsontiktok"",""title"":"""",""cover"":""""},{""id"":""71181592"",""name"":""momsofteens"",""title"":"""",""cover"":""""},{""id"":""1661837035453445"",""name"":""momsofquarantine"",""title"":"""",""cover"":""""},{""id"":""3776806"",""name"":""momsanddaughters"",""title"":"""",""cover"":""""}]"
"TikTok, are you happy? Send me a voice message with your answer. #positivepsychology #pyschology #areyouhappy #interviews #secretsrevealed",2021-01-11 23:22:33,O Superman,Laurie Anderson,False,Big Science,60.0,43,2208,18,92400,46,[],"[{""id"":""79967127"",""name"":""positivepsychology"",""title"":"""",""cover"":""""},{""id"":""11057314"",""name"":""pyschology"",""title"":"""",""cover"":""""},{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""},{""id"":""231425"",""name"":""interviews"",""title"":"""",""cover"":""""},{""id"":""4244872"",""name"":""secretsrevealed"",""title"":"""",""cover"":""""}]"
Are you happy? Send me a voice message on IG with your answer. #areyouhappy,2021-01-10 15:56:07,original sound,Are You Happy?,True,,45.0,46,3423,52,93500,56,[],"[{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""}]"
